feeder number  value                                  package                            file
                                                                                         DBSens-1-0
0699           1000.0                                 NL4532                             Inc-bt-1-14M
0130           1000PF                                 0603                               Inc-bt-1-14M
0194           1000PF                                 0805                               Inc-bt-1-14M
0227           1000PF                                 CC0805                             Inc-bt-1-14M
0546           1000PF                                 C0805                              Inc-bt-1-14M
1782           1000PF+5%50V                           C0603                              Inc-bt-1-14M
1399           1000UF25V                                                                 Inc-bt-1-14M
1796           1000РF5%50V                            C0805                              Inc-bt-1-14M
0059           100E                                   0805                               Inc-bt-1-14M
0106           100E                                   RC0805                             Inc-bt-1-14M
0157           100E                                   0603                               Inc-bt-1-14M
0501           100E                                   CAT16J4                            Inc-bt-1-14M
0531           100E1%                                 RC0805                             Inc-bt-1-14M
0049           100K                                   0805                               Inc-bt-1-14M
0095           100K                                   RC0805                             Inc-bt-1-14M
0160           100K                                   0603                               Inc-bt-1-14M
0566           100K                                   R0805                              Inc-bt-1-14M
0648           100K                                   RC0603                             Inc-bt-1-14M
0655           100K                                   R0603                              Inc-bt-1-14M
0728           100K0.1%                               RC0805                             Inc-bt-1-14M
0190           100K1%                                 0603                               Inc-bt-1-14M
0214           100K1%                                 0805                               Inc-bt-1-14M
0277           100K1%                                 RC0805                             Inc-bt-1-14M
0563           100K1%                                 R0805                              Inc-bt-1-14M
1743           100KOHM                                R3323                              Inc-bt-1-14M
1625           100KOHM0.1%                            R0805                              Inc-bt-1-14M
1633           100KOHM1%                              R0805                              Inc-bt-1-14M
1608           100KOHM5%                              R0603                              Inc-bt-1-14M
1690           100KOHM5%                              R0805                              Inc-bt-1-14M
0304           100M                                   RC1206                             Inc-bt-1-14M
1691           100MOHM5%                              R0805                              Inc-bt-1-14M
1634           100OHM1%                               R0805                              Inc-bt-1-14M
1609           100OHM5%                               R0603                              Inc-bt-1-14M
1692           100OHM5%                               R0805                              Inc-bt-1-14M
0195           100PF                                  0805                               Inc-bt-1-14M
0241           100PF                                  CC0805                             Inc-bt-1-14M
0551           100PF                                  C0805                              Inc-bt-1-14M
1783           100PF+5%50V                            C0603                              Inc-bt-1-14M
1410           100UF                                  DTYPE                              Inc-bt-1-14M
1395           100UF16V                                                                  Inc-bt-1-14M
0062           10E                                    0805                               Inc-bt-1-14M
0110           10E                                    RC0805                             Inc-bt-1-14M
0155           10E                                    0603                               Inc-bt-1-14M
0539           10E                                    RC2010                             Inc-bt-1-14M
0050           10K                                    0805                               Inc-bt-1-14M
0084           10K                                    RC0805                             Inc-bt-1-14M
0150           10K                                    0603                               Onix-bt-1-13
0565           10K                                    R0805                              Onix-bt-1-13
0727           10K0.1%                                RC0805                             Onix-bt-1-13
0001           10K1%                                  0805                               Onix-bt-1-13
0103           10K1%                                  RC0805                             Onix-bt-1-13
0152           10K1%                                  0603                               Onix-bt-1-13
0647           10K1%                                  RC0603                             Onix-bt-1-13
0654           10K1%                                  R0603                              Onix-bt-1-13
1742           10KOHM                                 R3323                              Onix-bt-1-13
1626           10KOHM0.1%                             R0805                              Onix-bt-1-13
1600           10KOHM1%                               R0603                              Onix-bt-1-13
1635           10KOHM1%                               R0805                              Onix-bt-1-13
1610           10KOHM5%                               R0603                              Onix-bt-1-13
1693           10KOHM5%                               R0805                              Onix-bt-1-13
0255           10M                                    RC0805                             Onix-bt-1-13
0297           10M1%                                  RC0805                             Onix-bt-1-13
1636           10MOHM1%                               R0805                              Onix-bt-1-13
1694           10MOHM5%                               R0805                              spectr-4-431bt
1695           10OHM5%                                R0805                              spectr-4-431bt
1737           10OHM5%                                R2010                              spectr-4-431bt
0035           10PF                                   0805                               spectr-4-431bt
0085           10PF                                   CC0805                             spectr-4-431bt
1784           10PF+5%50V                             C0603                              spectr-4-431bt
1797           10PF+5%50V                             C0805                              spectr-4-431bt
1386           10UF                                   C0805                              spectr-4-431bt
1407           10UF                                   ATYPE                              spectr-4-431bt
1788           10UF+10%50V                            C0603                              spectr-4-431bt
1823           10UF+80%~20%16V                        C0805                              spectr-4-431bt
1637           11KOHM1%                               R0805                              spectr-4-431bt
0483           120K1%                                 RC0805                             spectr-4-431bt
1638           120KOHM1%                              R0805                              spectr-4-431bt
0303           12K1%                                  RC0805                             spectr-4-431bt
1011           12K1%                                  0805                               spectr-4-431bt
1639           12KOHM1%                               R0805                              spectr-4-431bt
0225           12MHZ                                  KX7                                spectr-4-431bt
0694           12MHZ                                  KX71                               spectr-4-431bt
1055           13.1072MHZ                             Z1                                 spectr-4-431bt
1075           13.1072MHZ                             HC49U                              spectr-4-431bt
1740           13OHM5%                                R2512                              spectr-4-431bt
0329           15.0                                   SR0603                             spectr-4-431bt
0337           15.0                                   CDRH5D28NP                         spectr-4-431bt
0457           15.0                                   CDRH4D28CLD                        spectr-4-431bt
0558           15.0                                   CDRH4D28NP                         spectr-4-431bt
0695           15.0                                   CDRH4D28LD                         spectr-4-431bt
0243           1500PF                                 CC0805                             spectr-4-431bt
0553           1500PF                                 C0805                              spectr-4-431bt
1078           1500PF                                 0805                               spectr-4-431bt
1381           1500РF                                 C0805                              spectr-4-431bt
1818           1500РF+10%50V                          C0805                              spectr-4-431bt
0641           150K                                   RC0805                             TDS-1-51
0211           150K1%                                 0805                               TDS-1-51
0462           150K1%                                 RC0805                             TDS-1-51
0690           150K1%                                 RC0805NT                           TDS-1-51
1640           150KOHM1%                              R0805                              TDS-1-51
1696           150KOHM5%                              R0805                              TDS-1-51
0484           150PF                                  CC0805                             TDS-1-51
1798           150PF+5%50V                            C0805                              TDS-1-51
0649           15E                                    RC0805                             TDS-1-51
0004           15K                                    0805                               TDS-1-51
0111           15K                                    RC0805                             TDS-1-51
0171           15K                                    0603                               TDS-1-51
0573           15K                                    R0805                              TDS-1-51
0159           15K1%                                  0603                               Text files
0348           15K1%                                  RC0805                             Text files
1641           15KOHM1%                               R0805                              Text files
1611           15KOHM5%                               R0603                              Text files
1697           15KOHM5%                               R0805                              Text files
0208           15MH                                   CDRH4D28LD                         Text files
1612           15OHM5%                                R0603                              Text files
1698           15OHM5%                                R0805                              Text files
0117           15PF                                   CC0805                             Text files
0133           15PF                                   0603                               Text files
0196           15PF                                   0805                               Text files
0555           15PF                                   C0805                              Text files
1799           15PF+5%50V                             C0805                              Text files
0516           15UH                                   CDRH5D28NP                         Text files
0959           15UH                                   CDRH4D28CLD                        Text files
1746           160                                                                       Text files
0976           174K1%                                 RC0805                             Text files
1642           174KOHM1%                              R0805                              Text files
0962           175K1%                                 RC0805                             Text files
1747           180                                                                       Text files
0318           1E                                     RC0805                             Text files
0569           1E                                     R0805                              Text files
0626           1E                                     RC1218                             Text files
1070           1E                                     0805                               Text files
1736           1E                                     R1218                              Text files
1091           1EDN7550BXTSA1                         1EDN7550BXTSA1                     Text files
0007           1K                                     0805                               Text files
0091           1K                                     RC0805                             Text files
0168           1K                                     0603                               Text files
0560           1K                                     R0805                              Text files
0409           1K0.1%                                 RC1206                             Text files
0301           1K1%                                   RC0805                             Text files
1732           1KOHM0.1%                              R1206                              Text files
1643           1KOHM1%                                R0805                              Text files
1699           1KOHM5%                                R0805                              Text files
0275           1M                                     RC0805                             Text files
1003           1M                                     0805                               Text files
1026           1M                                     RC0805T                            Text files
0739           1M0.1%                                 RC0805                             Text files
0008           1M1%                                   0805                               Text files
0296           1M1%                                   RC0805                             Text files
0562           1M1%                                   R0805                              Text files
1627           1MOHM0.1%                              R0805                              Text files
1644           1MOHM1%                                R0805                              Text files
